id,name,team,price,position,MIN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158
323.0,A.J. Green,MIL,5.0,BACK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133.0,A.J. Lawson,DAL,5.0,BACK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213.0,AJ Griffin,HOU,4.5,FRONT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336.0,AJ Johnson,MIL,5.0,BACK,1.0,0.0,1.0,0.0,1.0,0.0,0.98,0.95,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.98,0.95,0.0,1.0,0.0,0.98,0.95,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.98,0.95,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.98,0.95,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.98,0.95,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.98,0.95,0.0,1.0,0.0,1.0,0.0,0.0,0.98,0.95,0.0,1.0,0.0,0.98,0.95,0.0,0.0,1.0,0.0,0.98,0.95,0.0,1.0,0.0,1.0,0.0,0.98,0.95,0.0,1.0,0.0,0.98,0.95,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.98,0.95,0.0,0.0,0.98,0.95,0.0,1.0,0.0,1.0,0.0,0.98,0.95,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.98,0.95,0.0,1.0,1.0
813.0,Aaron Estrada,DET,4.5,BACK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158.0,Aaron Gordon,DEN,11.5,FRONT,32.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.07,32.07,0.0,32.07,0.0,32.07,0.0,0.0,0.0,0.0,32.07,0.0,32.07,0.0,32.07,0.0,0.0,31.27,30.46,0.0,32.07,0.0,32.07,0.0,0.0,32.07,0.0,32.07,0.0,32.07,0.0,31.27,30.46,0.0,0.0,0.0,0.0,32.07,0.0,0.0,31.27,30.46,32.07,0.0,31.27,30.46,0.0,32.07,0.0,32.07,0.0,31.27,30.46,0.0,0.0,31.27,30.46,0.0,32.07,0.0,32.07,0.0,31.27,30.46,0.0,32.07,0.0,32.07,0.0,32.07,0.0,32.07,0.0,32.07,0.0,32.07,0.0,32.07,0.0,31.27,30.46,0.0,32.07,0.0,31.27,30.46,0.0,32.07,0.0,32.07,0.0,32.07,0.0,32.07,0.0,32.07,0.0,32.07,0.0,0.0,31.27,30.46,0.0,32.07,0.0,0.0,32.07,0.0,32.07,0.0,31.27,30.46,0.0,32.07,0.0,31.27,30.46,0.0,32.07,0.0,32.07,0.0,32.07,0.0,31.27,30.46,0.0,32.07,0.0,32.07,0.0,0.0,0.0,31.27,30.46,0.0,32.07,0.0,32.07,0.0,0.0,32.07,0.0,32.07,32.07
215.0,Aaron Holiday,HOU,5.5,BACK,4.0,0.0,4.0,0.0,3.9,3.8,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,3.9,3.8,0.0,4.0,0.0,4.0,0.0,3.9,3.8,0.0,4.0,0.0,3.9,3.8,0.0,0.0,3.9,3.8,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.9,3.8,0.0,3.9,3.8,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,3.9,3.8,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,3.9,3.8,0.0,4.0,0.0,3.9,3.8,0.0,0.0,3.9,3.8,0.0,3.9,3.8,0.0,0.0,3.9,3.8,0.0,0.0,4.0,0.0,3.9,3.8,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,3.9,3.8,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,3.9,3.8,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0
433.0,Aaron Nesmith,IND,9.5,FRONT,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0,0.0,25.0,0.0,24.38,23.75,0.0,25.0,0.0,25.0,0.0,24.38,23.75,0.0,25.0,25.0,0.0,25.0,0.0,24.38,23.75,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,24.38,23.75,0.0,24.38,23.75,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,24.38,23.75,0.0,25.0,0.0,25.0,0.0,0.0,24.38,23.75,0.0,25.0,0.0,0.0,24.38,23.75,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,24.38,23.75,0.0,0.0,24.38,23.75,0.0,25.0,0.0,24.38,23.75,0.0,25.0,0.0,25.0,0.0,24.38,23.75,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,24.38,23.75,25.0
591.0,Aaron Wiggins,OKC,5.5,BACK,18.24,0.0,0.0,18.24,0.0,17.79,17.33,0.0,0.0,18.24,0.0,17.79,17.33,0.0,18.24,18.24,0.0,18.24,0.0,17.79,17.33,0.0,18.24,0.0,18.24,0.0,18.24,0.0,17.79,17.33,0.0,0.0,0.0,0.0,18.24,0.0,18.24,18.24,0.0,18.24,0.0,18.24,0.0,18.24,0.0,18.24,0.0,0.0,0.0,0.0,0.0,17.79,17.33,0.0,0.0,18.24,0.0,18.24,0.0,17.79,17.33,0.0,18.24,0.0,17.79,17.33,0.0,18.24,0.0,0.0,18.24,0.0,18.24,0.0,18.24,0.0,18.24,0.0,17.79,17.33,0.0,18.24,0.0,0.0,17.79,17.33,0.0,0.0,18.24,0.0,0.0,18.24,0.0,0.0,18.24,0.0,18.24,0.0,18.24,0.0,17.79,17.33,0.0,18.24,0.0,17.79,17.33,0.0,18.24,0.0,17.79,17.33,0.0,18.24,0.0,18.24,0.0,17.79,17.33,0.0,18.24,0.0,18.24,0.0,17.79,17.33,0.0,18.24,0.0,0.0,17.79,17.33,0.0,0.0,18.24,0.0,18.24,0.0,18.24,0.0,18.24,0.0,18.24,0.0,18.24,0.0,18.24,0.0,18.24,0.0,18.24,0.0,18.24,0.0,17.79,17.33,0.0,18.24,18.24
602.0,Adam Flagler,OKC,4.5,BACK,1.0,0.0,0.0,1.0,0.0,0.98,0.95,0.0,0.0,1.0,0.0,0.98,0.95,0.0,1.0,1.0,0.0,1.0,0.0,0.98,0.95,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.98,0.95,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.98,0.95,0.0,0.0,1.0,0.0,1.0,0.0,0.98,0.95,0.0,1.0,0.0,0.98,0.95,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.98,0.95,0.0,1.0,0.0,0.0,0.98,0.95,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.98,0.95,0.0,1.0,0.0,0.98,0.95,0.0,1.0,0.0,0.98,0.95,0.0,1.0,0.0,1.0,0.0,0.98,0.95,0.0,1.0,0.0,1.0,0.0,0.98,0.95,0.0,1.0,0.0,0.0,0.98,0.95,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.98,0.95,0.0,1.0,1.0
